,country,year,gender,age,suicides_no,population,suicides/100k pop,GdpForYear,GdpPerCapita,generation,all_population,country_id
56,Albania,1993,female,55-74 years,2.0,169500,1.18,"1,22,80,71,038",437.0,Silent,2807300,1
57,Albania,1993,female,5-14 years,1.0,340300,0.29,"1,22,80,71,038",437.0,Millenials,2807300,1
58,Albania,1993,male,5-14 years,1.0,367000,0.27,"1,22,80,71,038",437.0,Millenials,2807300,1
59,Albania,1993,female,75+ years,0.0,39300,0.0,"1,22,80,71,038",437.0,G.I. Generation,2807300,1
60,Albania,1994,male,75+ years,2.0,24600,8.13,"1,98,56,73,798",697.0,G.I. Generation,2849300,1
61,Albania,1994,male,55-74 years,11.0,171400,6.42,"1,98,56,73,798",697.0,Silent,2849300,1
62,Albania,1994,female,75+ years,2.0,39900,5.01,"1,98,56,73,798",697.0,G.I. Generation,2849300,1
63,Albania,1994,male,25-34 years,6.0,231400,2.59,"1,98,56,73,798",697.0,Boomers,2849300,1
64,Albania,1994,male,35-54 years,9.0,362800,2.48,"1,98,56,73,798",697.0,Boomers,2849300,1
65,Albania,1994,male,15-24 years,6.0,242200,2.48,"1,98,56,73,798",697.0,Generation X,2849300,1
66,Albania,1994,female,15-24 years,6.0,282600,2.12,"1,98,56,73,798",697.0,Generation X,2849300,1
67,Albania,1994,female,25-34 years,4.0,261100,1.53,"1,98,56,73,798",697.0,Boomers,2849300,1
68,Albania,1994,female,35-54 years,2.0,342500,0.58,"1,98,56,73,798",697.0,Boomers,2849300,1
69,Albania,1994,female,55-74 years,1.0,174600,0.57,"1,98,56,73,798",697.0,Silent,2849300,1
70,Albania,1994,male,5-14 years,1.0,371800,0.27,"1,98,56,73,798",697.0,Millenials,2849300,1
71,Albania,1994,female,5-14 years,0.0,344400,0.0,"1,98,56,73,798",697.0,Millenials,2849300,1
72,Albania,1995,male,25-34 years,13.0,232900,5.58,"2,42,44,99,009",835.0,Generation X,2903400,1
73,Albania,1995,male,55-74 years,9.0,178000,5.06,"2,42,44,99,009",835.0,Silent,2903400,1
74,Albania,1995,female,75+ years,2.0,40800,4.9,"2,42,44,99,009",835.0,G.I. Generation,2903400,1
75,Albania,1995,female,15-24 years,13.0,283500,4.59,"2,42,44,99,009",835.0,Generation X,2903400,1
76,Albania,1995,male,15-24 years,11.0,241200,4.56,"2,42,44,99,009",835.0,Generation X,2903400,1
77,Albania,1995,male,75+ years,1.0,25100,3.98,"2,42,44,99,009",835.0,G.I. Generation,2903400,1
78,Albania,1995,male,35-54 years,14.0,375900,3.72,"2,42,44,99,009",835.0,Boomers,2903400,1
79,Albania,1995,female,25-34 years,7.0,264000,2.65,"2,42,44,99,009",835.0,Generation X,2903400,1
80,Albania,1995,female,35-54 years,8.0,356400,2.24,"2,42,44,99,009",835.0,Boomers,2903400,1
81,Albania,1995,male,5-14 years,6.0,376500,1.59,"2,42,44,99,009",835.0,Millenials,2903400,1
82,Albania,1995,female,55-74 years,2.0,180400,1.11,"2,42,44,99,009",835.0,Silent,2903400,1
83,Albania,1995,female,5-14 years,2.0,348700,0.57,"2,42,44,99,009",835.0,Millenials,2903400,1
84,Albania,1996,male,75+ years,2.0,25400,7.87,"3,31,48,98,292",1127.0,G.I. Generation,2940200,1
85,Albania,1996,male,15-24 years,17.0,243600,6.98,"3,31,48,98,292",1127.0,Generation X,2940200,1
86,Albania,1996,male,25-34 years,14.0,235300,5.95,"3,31,48,98,292",1127.0,Generation X,2940200,1
87,Albania,1996,female,15-24 years,16.0,287700,5.56,"3,31,48,98,292",1127.0,Generation X,2940200,1
88,Albania,1996,female,75+ years,2.0,41200,4.85,"3,31,48,98,292",1127.0,G.I. Generation,2940200,1
89,Albania,1996,female,25-34 years,10.0,267900,3.73,"3,31,48,98,292",1127.0,Generation X,2940200,1
90,Albania,1996,male,35-54 years,12.0,379600,3.16,"3,31,48,98,292",1127.0,Boomers,2940200,1
91,Albania,1996,female,35-54 years,9.0,362000,2.49,"3,31,48,98,292",1127.0,Boomers,2940200,1
92,Albania,1996,male,55-74 years,3.0,179900,1.67,"3,31,48,98,292",1127.0,Silent,2940200,1
93,Albania,1996,female,55-74 years,1.0,183100,0.55,"3,31,48,98,292",1127.0,Silent,2940200,1
94,Albania,1996,male,5-14 years,2.0,380400,0.53,"3,31,48,98,292",1127.0,Millenials,2940200,1
95,Albania,1996,female,5-14 years,1.0,354100,0.28,"3,31,48,98,292",1127.0,Millenials,2940200,1
96,Albania,1997,male,25-34 years,36.0,236000,15.25,"2,35,99,03,108",793.0,Generation X,2977300,1
97,Albania,1997,male,15-24 years,33.0,244400,13.5,"2,35,99,03,108",793.0,Generation X,2977300,1
98,Albania,1997,male,75+ years,3.0,25400,11.81,"2,35,99,03,108",793.0,G.I. Generation,2977300,1
99,Albania,1997,male,35-54 years,30.0,380800,7.88,"2,35,99,03,108",793.0,Boomers,2977300,1
100,Albania,1997,female,15-24 years,21.0,294000,7.14,"2,35,99,03,108",793.0,Generation X,2977300,1
101,Albania,1997,male,55-74 years,12.0,180300,6.66,"2,35,99,03,108",793.0,Silent,2977300,1
102,Albania,1997,female,25-34 years,16.0,273900,5.84,"2,35,99,03,108",793.0,Generation X,2977300,1
103,Albania,1997,female,75+ years,2.0,42100,4.75,"2,35,99,03,108",793.0,G.I. Generation,2977300,1
104,Albania,1997,female,35-54 years,7.0,370100,1.89,"2,35,99,03,108",793.0,Boomers,2977300,1
105,Albania,1997,female,5-14 years,6.0,361800,1.66,"2,35,99,03,108",793.0,Millenials,2977300,1
106,Albania,1997,male,5-14 years,4.0,381500,1.05,"2,35,99,03,108",793.0,Millenials,2977300,1
107,Albania,1997,female,55-74 years,0.0,187000,0.0,"2,35,99,03,108",793.0,Silent,2977300,1
108,Albania,1998,male,75+ years,3.0,25800,11.63,"2,70,71,23,772",899.0,G.I. Generation,3012700,1
109,Albania,1998,male,15-24 years,27.0,248800,10.85,"2,70,71,23,772",899.0,Generation X,3012700,1
110,Albania,1998,female,15-24 years,32.0,295600,10.83,"2,70,71,23,772",899.0,Generation X,3012700,1
111,Albania,1998,male,25-34 years,26.0,240400,10.82,"2,70,71,23,772",899.0,Generation X,3012700,1
112,Albania,1998,male,35-54 years,29.0,388200,7.47,"2,70,71,23,772",899.0,Boomers,3012700,1
113,Albania,1998,male,55-74 years,9.0,183800,4.9,"2,70,71,23,772",899.0,Silent,3012700,1
114,Albania,1998,female,25-34 years,10.0,275300,3.63,"2,70,71,23,772",899.0,Generation X,3012700,1
115,Albania,1998,female,55-74 years,6.0,188200,3.19,"2,70,71,23,772",899.0,Silent,3012700,1
116,Albania,1998,female,35-54 years,9.0,372100,2.42,"2,70,71,23,772",899.0,Boomers,3012700,1
117,Albania,1998,male,5-14 years,2.0,388400,0.51,"2,70,71,23,772",899.0,Millenials,3012700,1
118,Albania,1998,female,5-14 years,1.0,363800,0.27,"2,70,71,23,772",899.0,Millenials,3012700,1
119,Albania,1998,female,75+ years,0.0,42300,0.0,"2,70,71,23,772",899.0,G.I. Generation,3012700,1
120,Albania,1999,male,75+ years,3.0,25900,11.58,"3,41,47,60,915",1127.0,G.I. Generation,3029700,1
121,Albania,1999,male,15-24 years,24.0,250600,9.58,"3,41,47,60,915",1127.0,Generation X,3029700,1
122,Albania,1999,female,75+ years,4.0,42400,9.43,"3,41,47,60,915",1127.0,G.I. Generation,3029700,1
123,Albania,1999,male,35-54 years,31.0,391100,7.93,"3,41,47,60,915",1127.0,Boomers,3029700,1
124,Albania,1999,male,25-34 years,19.0,242300,7.84,"3,41,47,60,915",1127.0,Generation X,3029700,1
125,Albania,1999,male,55-74 years,14.0,185200,7.56,"3,41,47,60,915",1127.0,Silent,3029700,1
126,Albania,1999,female,15-24 years,19.0,296800,6.4,"3,41,47,60,915",1127.0,Generation X,3029700,1
127,Albania,1999,female,25-34 years,13.0,276500,4.7,"3,41,47,60,915",1127.0,Generation X,3029700,1
128,Albania,1999,female,55-74 years,6.0,188800,3.18,"3,41,47,60,915",1127.0,Silent,3029700,1
129,Albania,1999,female,35-54 years,5.0,373600,1.34,"3,41,47,60,915",1127.0,Boomers,3029700,1
130,Albania,1999,female,5-14 years,1.0,365200,0.27,"3,41,47,60,915",1127.0,Millenials,3029700,1
131,Albania,1999,male,5-14 years,0.0,391300,0.0,"3,41,47,60,915",1127.0,Millenials,3029700,1
132,Albania,2000,male,25-34 years,17.0,232000,7.33,"3,63,20,43,908",1299.0,Generation X,2796300,1
133,Albania,2000,male,55-74 years,10.0,177400,5.64,"3,63,20,43,908",1299.0,Silent,2796300,1
134,Albania,2000,female,75+ years,2.0,37800,5.29,"3,63,20,43,908",1299.0,G.I. Generation,2796300,1
135,Albania,2000,male,75+ years,1.0,24900,4.02,"3,63,20,43,908",1299.0,G.I. Generation,2796300,1
136,Albania,2000,female,15-24 years,6.0,263900,2.27,"3,63,20,43,908",1299.0,Generation X,2796300,1
137,Albania,2000,male,15-24 years,5.0,240000,2.08,"3,63,20,43,908",1299.0,Generation X,2796300,1
138,Albania,2000,female,35-54 years,5.0,332200,1.51,"3,63,20,43,908",1299.0,Boomers,2796300,1
139,Albania,2000,female,25-34 years,3.0,245800,1.22,"3,63,20,43,908",1299.0,Generation X,2796300,1
140,Albania,2000,male,35-54 years,4.0,374700,1.07,"3,63,20,43,908",1299.0,Boomers,2796300,1
141,Albania,2000,male,5-14 years,1.0,374900,0.27,"3,63,20,43,908",1299.0,Millenials,2796300,1
142,Albania,2000,female,5-14 years,0.0,324700,0.0,"3,63,20,43,908",1299.0,Millenials,2796300,1
143,Albania,2000,female,55-74 years,0.0,168000,0.0,"3,63,20,43,908",1299.0,Silent,2796300,1
144,Albania,2001,male,25-34 years,22.0,206484,10.65,"4,06,07,58,804",1451.0,Generation X,2799349,1
145,Albania,2001,male,35-54 years,34.0,378826,8.98,"4,06,07,58,804",1451.0,Boomers,2799349,1
146,Albania,2001,male,55-74 years,11.0,196670,5.59,"4,06,07,58,804",1451.0,Silent,2799349,1
147,Albania,2001,female,75+ years,2.0,47254,4.23,"4,06,07,58,804",1451.0,Silent,2799349,1
148,Albania,2001,male,15-24 years,10.0,256039,3.91,"4,06,07,58,804",1451.0,Millenials,2799349,1
149,Albania,2001,female,15-24 years,9.0,271359,3.32,"4,06,07,58,804",1451.0,Millenials,2799349,1
150,Albania,2001,female,35-54 years,12.0,370191,3.24,"4,06,07,58,804",1451.0,Boomers,2799349,1
151,Albania,2001,male,75+ years,1.0,31044,3.22,"4,06,07,58,804",1451.0,Silent,2799349,1
152,Albania,2001,female,55-74 years,6.0,189799,3.16,"4,06,07,58,804",1451.0,Silent,2799349,1
153,Albania,2001,male,5-14 years,6.0,321556,1.87,"4,06,07,58,804",1451.0,Millenials,2799349,1
154,Albania,2001,female,25-34 years,4.0,222771,1.8,"4,06,07,58,804",1451.0,Generation X,2799349,1
155,Albania,2001,female,5-14 years,2.0,307356,0.65,"4,06,07,58,804",1451.0,Millenials,2799349,1
156,Albania,2002,male,75+ years,4.0,31007,12.9,"4,43,50,78,648",1573.0,Silent,2818839,1
157,Albania,2002,male,25-34 years,23.0,206286,11.15,"4,43,50,78,648",1573.0,Generation X,2818839,1
158,Albania,2002,male,35-54 years,35.0,382139,9.16,"4,43,50,78,648",1573.0,Boomers,2818839,1
159,Albania,2002,male,55-74 years,13.0,198130,6.56,"4,43,50,78,648",1573.0,Silent,2818839,1
160,Albania,2002,male,15-24 years,15.0,263067,5.7,"4,43,50,78,648",1573.0,Millenials,2818839,1
161,Albania,2002,female,15-24 years,14.0,275970,5.07,"4,43,50,78,648",1573.0,Millenials,2818839,1
162,Albania,2002,female,35-54 years,15.0,375113,4.0,"4,43,50,78,648",1573.0,Boomers,2818839,1
163,Albania,2002,female,25-34 years,7.0,223685,3.13,"4,43,50,78,648",1573.0,Generation X,2818839,1
164,Albania,2002,female,75+ years,1.0,47407,2.11,"4,43,50,78,648",1573.0,Silent,2818839,1
165,Albania,2002,female,55-74 years,4.0,191712,2.09,"4,43,50,78,648",1573.0,Silent,2818839,1
166,Albania,2002,female,5-14 years,1.0,304850,0.33,"4,43,50,78,648",1573.0,Millenials,2818839,1
167,Albania,2002,male,5-14 years,1.0,319473,0.31,"4,43,50,78,648",1573.0,Millenials,2818839,1
168,Albania,2003,female,75+ years,6.0,49088,12.22,"5,74,69,45,913",2021.0,Silent,2843929,1
169,Albania,2003,male,55-74 years,16.0,201520,7.94,"5,74,69,45,913",2021.0,Silent,2843929,1
170,Albania,2003,male,35-54 years,28.0,386196,7.25,"5,74,69,45,913",2021.0,Boomers,2843929,1
171,Albania,2003,male,15-24 years,15.0,273235,5.49,"5,74,69,45,913",2021.0,Millenials,2843929,1
172,Albania,2003,female,15-24 years,14.0,283709,4.93,"5,74,69,45,913",2021.0,Millenials,2843929,1
173,Albania,2003,female,55-74 years,9.0,195699,4.6,"5,74,69,45,913",2021.0,Silent,2843929,1
174,Albania,2003,male,25-34 years,9.0,205433,4.38,"5,74,69,45,913",2021.0,Generation X,2843929,1
175,Albania,2003,female,25-34 years,9.0,222941,4.04,"5,74,69,45,913",2021.0,Generation X,2843929,1
176,Albania,2003,female,35-54 years,13.0,381760,3.41,"5,74,69,45,913",2021.0,Boomers,2843929,1
177,Albania,2003,male,75+ years,1.0,32667,3.06,"5,74,69,45,913",2021.0,Silent,2843929,1
178,Albania,2003,male,5-14 years,4.0,313204,1.28,"5,74,69,45,913",2021.0,Millenials,2843929,1
179,Albania,2003,female,5-14 years,0.0,298477,0.0,"5,74,69,45,913",2021.0,Millenials,2843929,1
180,Albania,2004,male,75+ years,4.0,35526,11.26,"7,31,48,65,176",2544.0,Silent,2874991,1
181,Albania,2004,male,35-54 years,39.0,391767,9.95,"7,31,48,65,176",2544.0,Boomers,2874991,1
182,Albania,2004,male,25-34 years,16.0,203938,7.85,"7,31,48,65,176",2544.0,Generation X,2874991,1
183,Albania,2004,female,15-24 years,20.0,292268,6.84,"7,31,48,65,176",2544.0,Millenials,2874991,1
184,Albania,2004,male,15-24 years,19.0,286768,6.63,"7,31,48,65,176",2544.0,Millenials,2874991,1
185,Albania,2004,female,75+ years,3.0,50970,5.89,"7,31,48,65,176",2544.0,Silent,2874991,1
186,Albania,2004,female,25-34 years,11.0,222389,4.95,"7,31,48,65,176",2544.0,Generation X,2874991,1
187,Albania,2004,male,55-74 years,10.0,207202,4.83,"7,31,48,65,176",2544.0,Silent,2874991,1
188,Albania,2004,female,35-54 years,17.0,391436,4.34,"7,31,48,65,176",2544.0,Boomers,2874991,1
189,Albania,2004,female,55-74 years,3.0,203841,1.47,"7,31,48,65,176",2544.0,Silent,2874991,1
190,Albania,2004,female,5-14 years,3.0,286705,1.05,"7,31,48,65,176",2544.0,Millenials,2874991,1
191,Albania,2004,male,5-14 years,1.0,302181,0.33,"7,31,48,65,176",2544.0,Millenials,2874991,1
192,Albania,2005,female,15-24 years,0.0,281922,0.0,"8,15,85,48,717",2931.0,Millenials,2783320,1
193,Albania,2005,female,25-34 years,0.0,190745,0.0,"8,15,85,48,717",2931.0,Generation X,2783320,1
194,Albania,2005,female,35-54 years,0.0,386513,0.0,"8,15,85,48,717",2931.0,Boomers,2783320,1
195,Albania,2005,female,5-14 years,0.0,276559,0.0,"8,15,85,48,717",2931.0,Millenials,2783320,1
196,Albania,2005,female,55-74 years,0.0,210998,0.0,"8,15,85,48,717",2931.0,Silent,2783320,1
197,Albania,2005,female,75+ years,0.0,53191,0.0,"8,15,85,48,717",2931.0,Silent,2783320,1
198,Albania,2005,male,15-24 years,0.0,281675,0.0,"8,15,85,48,717",2931.0,Millenials,2783320,1
199,Albania,2005,male,25-34 years,0.0,177519,0.0,"8,15,85,48,717",2931.0,Generation X,2783320,1
200,Albania,2005,male,35-54 years,0.0,380242,0.0,"8,15,85,48,717",2931.0,Boomers,2783320,1
201,Albania,2005,male,5-14 years,0.0,291367,0.0,"8,15,85,48,717",2931.0,Millenials,2783320,1
202,Albania,2005,male,55-74 years,0.0,214118,0.0,"8,15,85,48,717",2931.0,Silent,2783320,1
203,Albania,2005,male,75+ years,0.0,38471,0.0,"8,15,85,48,717",2931.0,Silent,2783320,1
204,Albania,2006,female,15-24 years,0.0,283138,0.0,"8,99,26,42,349",3235.0,Millenials,2780176,1
205,Albania,2006,female,25-34 years,0.0,186391,0.0,"8,99,26,42,349",3235.0,Generation X,2780176,1
206,Albania,2006,female,35-54 years,0.0,388746,0.0,"8,99,26,42,349",3235.0,Boomers,2780176,1
207,Albania,2006,female,5-14 years,0.0,267316,0.0,"8,99,26,42,349",3235.0,Millenials,2780176,1
208,Albania,2006,female,55-74 years,0.0,215907,0.0,"8,99,26,42,349",3235.0,Silent,2780176,1
209,Albania,2006,female,75+ years,0.0,56011,0.0,"8,99,26,42,349",3235.0,Silent,2780176,1
210,Albania,2006,male,15-24 years,0.0,286679,0.0,"8,99,26,42,349",3235.0,Millenials,2780176,1
211,Albania,2006,male,25-34 years,0.0,174092,0.0,"8,99,26,42,349",3235.0,Generation X,2780176,1
212,Albania,2006,male,35-54 years,0.0,379076,0.0,"8,99,26,42,349",3235.0,Boomers,2780176,1
213,Albania,2006,male,5-14 years,0.0,282678,0.0,"8,99,26,42,349",3235.0,Millenials,2780176,1
214,Albania,2006,male,55-74 years,0.0,219360,0.0,"8,99,26,42,349",3235.0,Silent,2780176,1
215,Albania,2006,male,75+ years,0.0,40782,0.0,"8,99,26,42,349",3235.0,Silent,2780176,1
216,Albania,2007,male,75+ years,8.0,42366,18.88,"10,70,10,11,897",3863.0,Silent,2770344,1
217,Albania,2007,male,35-54 years,29.0,378626,7.66,"10,70,10,11,897",3863.0,Boomers,2770344,1
218,Albania,2007,male,55-74 years,14.0,224160,6.25,"10,70,10,11,897",3863.0,Silent,2770344,1
219,Albania,2007,female,75+ years,3.0,57404,5.23,"10,70,10,11,897",3863.0,Silent,2770344,1
220,Albania,2007,male,25-34 years,9.0,172494,5.22,"10,70,10,11,897",3863.0,Generation X,2770344,1
221,Albania,2007,female,15-24 years,13.0,281080,4.63,"10,70,10,11,897",3863.0,Millenials,2770344,1
222,Albania,2007,male,15-24 years,13.0,288349,4.51,"10,70,10,11,897",3863.0,Millenials,2770344,1
223,Albania,2007,female,25-34 years,8.0,183629,4.36,"10,70,10,11,897",3863.0,Generation X,2770344,1
224,Albania,2007,female,55-74 years,9.0,221120,4.07,"10,70,10,11,897",3863.0,Silent,2770344,1
225,Albania,2007,female,35-54 years,14.0,391811,3.57,"10,70,10,11,897",3863.0,Boomers,2770344,1
226,Albania,2007,male,5-14 years,4.0,272497,1.47,"10,70,10,11,897",3863.0,Generation Z,2770344,1
227,Albania,2007,female,5-14 years,0.0,256808,0.0,"10,70,10,11,897",3863.0,Generation Z,2770344,1
228,Albania,2008,male,25-34 years,21.0,172855,12.15,"12,88,13,52,688",4672.0,Generation X,2757059,1
229,Albania,2008,male,35-54 years,37.0,377119,9.81,"12,88,13,52,688",4672.0,Boomers,2757059,1
230,Albania,2008,male,55-74 years,21.0,228672,9.18,"12,88,13,52,688",4672.0,Silent,2757059,1
231,Albania,2008,female,75+ years,5.0,59369,8.42,"12,88,13,52,688",4672.0,Silent,2757059,1
232,Albania,2008,female,15-24 years,20.0,276073,7.24,"12,88,13,52,688",4672.0,Millenials,2757059,1
233,Albania,2008,female,25-34 years,9.0,182663,4.93,"12,88,13,52,688",4672.0,Generation X,2757059,1
234,Albania,2008,female,35-54 years,19.0,393832,4.82,"12,88,13,52,688",4672.0,Boomers,2757059,1
235,Albania,2008,male,75+ years,2.0,44574,4.49,"12,88,13,52,688",4672.0,Silent,2757059,1
236,Albania,2008,male,15-24 years,11.0,286702,3.84,"12,88,13,52,688",4672.0,Millenials,2757059,1
237,Albania,2008,female,55-74 years,7.0,226448,3.09,"12,88,13,52,688",4672.0,Silent,2757059,1
238,Albania,2008,male,5-14 years,7.0,262464,2.67,"12,88,13,52,688",4672.0,Generation Z,2757059,1
239,Albania,2008,female,5-14 years,1.0,246288,0.41,"12,88,13,52,688",4672.0,Generation Z,2757059,1
240,Albania,2009,female,15-24 years,0.0,270003,0.0,"12,04,42,12,904",4387.0,Millenials,2745735,1
241,Albania,2009,female,25-34 years,0.0,182712,0.0,"12,04,42,12,904",4387.0,Generation X,2745735,1
242,Albania,2009,female,35-54 years,0.0,394286,0.0,"12,04,42,12,904",4387.0,Boomers,2745735,1
243,Albania,2009,female,5-14 years,0.0,236174,0.0,"12,04,42,12,904",4387.0,Generation Z,2745735,1
244,Albania,2009,female,55-74 years,0.0,233302,0.0,"12,04,42,12,904",4387.0,Silent,2745735,1
245,Albania,2009,female,75+ years,0.0,61582,0.0,"12,04,42,12,904",4387.0,Silent,2745735,1
246,Albania,2009,male,15-24 years,0.0,283448,0.0,"12,04,42,12,904",4387.0,Millenials,2745735,1
247,Albania,2009,male,25-34 years,0.0,174955,0.0,"12,04,42,12,904",4387.0,Generation X,2745735,1
248,Albania,2009,male,35-54 years,0.0,374365,0.0,"12,04,42,12,904",4387.0,Boomers,2745735,1
249,Albania,2009,male,5-14 years,0.0,253007,0.0,"12,04,42,12,904",4387.0,Generation Z,2745735,1
250,Albania,2009,male,55-74 years,0.0,234570,0.0,"12,04,42,12,904",4387.0,Silent,2745735,1
251,Albania,2009,male,75+ years,0.0,47331,0.0,"12,04,42,12,904",4387.0,Silent,2745735,1
252,Albania,2010,male,55-74 years,20.0,241852,8.27,"11,92,69,53,259",4359.0,Silent,2736025,1
253,Albania,2010,male,35-54 years,20.0,371611,5.38,"11,92,69,53,259",4359.0,Generation X,2736025,1
254,Albania,2010,male,25-34 years,9.0,179720,5.01,"11,92,69,53,259",4359.0,Generation X,2736025,1
